t_s,sigma_MPa
0.0009918523352471919,0.22900763358777
0.0013324211283158704,0.6488549618320434
0.0017899298112153792,1.068702290076331
0.002435652157108291,1.068702290076331
0.0033570516877576063,1.4885496183206044
0.004626900422112274,2.328244274809151
0.006215622690951835,2.7480916030534246
0.008457719350649304,3.167938931297698
0.011508020351160969,4.427480916030518
0.015458730873201418,5.687022900763353
0.02103448218837478,6.526717557251899
0.028619928134297697,8.206106870228993
0.03894083434414463,9.8854961832061
0.05366808538014234,11.564885496183194
0.07302184731383214,13.244274809160302
0.0980902927734792,14.503816793893122
0.13346684120014876,15.763358778625943
0.18161094094913155,16.183206106870216
0.25356588347147085,15.34351145038167
0.3450743153525827,13.664122137404561
0.4577279719660494,11.145038167938921
0.6229614621731557,8.206106870228993
0.8158365132719362,4.847328244274792
1.0413757534185404,1.068702290076331
1.312313658052501,-2.709923664122144
1.6751047570732345,-6.488549618320619
2.084205673405536,-11.946564885496187
2.5601478071978114,-17.40458015267177
2.9873239698608316,-22.442748091603065
3.5309780597590756,-28.320610687022906
4.067698963149879,-33.77862595419849
4.746651688497191,-39.65648854961833
5.6103431077591726,-45.1145038167939
6.717013997642417,-50.992366412213755
8.250888516622535,-56.450381679389324
9.87793752839116,-61.48854961832063
11.82612510505342,-66.9465648854962
14.15854621457133,-72.40458015267177
16.520985376803736,-77.44274809160308
19.032232415520642,-82.90076335877865
21.924660676063006,-87.93893129770993
25.257285089310216,-93.39694656488552
29.095767280044672,-98.4351145038168
34.83421340662911,-103.89312977099237
41.70238818555475,-108.5114503816794
49.92107536235686,-111.87022900763361
60.528484202963085,-114.38931297709928
75.29439723940337,-116.06870229007635
87.83405451519094,-116.48854961832063
101.15292062197817,-116.48854961832063
