t_s,T_degC
0.0009858951202469113,651.2295081967213
0.0012587268979413072,651.2295081967213
0.0015827087699176868,651.2295081967213
0.0020206998283996565,651.2295081967213
0.0026195934754574164,651.2295081967213
0.003344526919256889,651.2295081967213
0.004205369802608672,651.2295081967213
0.005369143205626132,651.2295081967213
0.006751099108461796,651.2295081967213
0.008619365147441053,651.2295081967213
0.010837890913660227,651.2295081967213
0.013837115662527327,651.2295081967213
0.01821415241416808,651.2295081967213
0.02290226641670243,651.2295081967213
0.029241042155865184,649.7950819672132
0.03790748243282858,649.7950819672132
0.04989859733114548,649.7950819672132
0.06468750982508269,649.7950819672132
0.08258881386620727,649.7950819672132
0.10706643060440423,649.7950819672132
0.13879870681927928,649.7950819672132
0.17720917984576418,649.7950819672132
0.23685410200982684,649.7950819672132
0.30239994393403363,649.7950819672132
0.39805684964870386,649.7950819672132
0.5402205443948799,649.7950819672132
0.6897185269362447,649.7950819672132
0.8672713038146939,648.360655737705
1.0577646542349555,645.4918032786885
1.3301876203868075,639.7540983606557
1.6985629277240284,632.5819672131148
2.0404463561389705,625.4098360655738
2.4513735070330145,613.9344262295082
2.8566588104332182,599.5901639344262
3.2286240726142057,588.1147540983607
3.705399729240151,573.7704918032787
4.318148154787231,557.9918032786885
4.733775262129707,545.0819672131147
5.35099674917913,526.4344262295082
5.95685254842866,509.22131147540983
6.43165624864243,493.44262295081967
7.160091567122711,474.79508196721315
7.850241697063813,456.1475409836066
8.475962037635554,440.36885245901647
9.293528439016203,418.8524590163935
10.189636063407667,398.7704918032787
10.835788641855398,380.1229508196722
11.700576654514524,360.0409836065574
12.827975722061808,342.82786885245906
13.851323788998565,324.1803278688525
14.73013484723416,304.09836065573774
16.150455044405565,284.016393442623
17.174599391181893,265.3688524590164
18.831800023671633,242.4180327868853
20.334737692126897,222.3360655737705
21.956935532205083,203.68852459016398
23.709285570635593,183.60655737704917
25.603090183569908,160.65573770491812
27.64556932561435,142.0081967213115
30.777609028924132,121.9262295081968
33.74527091238835,101.84426229508199
36.4350100596407,86.06557377049182
41.183074704353906,70.28688524590166
45.84164191071097,57.377049180327845
51.02717920300594,44.467213114754145
60.37653102493454,31.55737704918033
71.42995844057955,24.38524590163945
84.49905888423442,21.516393442622984
99.9562047062943,20.081967213114808
