t_s,T_degC
0.0009859259686037954,649.7950819672132
0.0013380437089884048,649.7950819672132
0.001788457334906699,648.360655737705
0.002318591654733229,646.9262295081967
0.0031466632141987283,646.9262295081967
0.004205764569166647,646.9262295081967
0.005621513289953353,645.4918032786885
0.007399974542742897,644.0573770491803
0.009593474155164636,642.6229508196722
0.012248708363107203,641.188524590164
0.016124299898468253,638.3196721311475
0.02122616030265162,635.4508196721312
0.02794229107811773,632.5819672131148
0.03622720879202107,628.2786885245902
0.04696861303146578,623.9754098360656
0.06375115910631167,618.2377049180328
0.08521913767102082,612.5
0.10881588184895082,606.7622950819673
0.1432595639140667,599.5901639344262
0.18015547944200413,593.8524590163935
0.23004680987600307,586.6803278688525
0.29375478835303737,579.5081967213115
0.3694332520442977,570.9016393442623
0.4575537540156785,563.7295081967213
0.5581063490221356,556.5573770491803
0.7019102431188607,546.516393442623
0.8562165099913318,536.4754098360656
1.0605816107999797,523.5655737704918
1.2937373321767724,513.5245901639345
1.5542841455331637,502.04918032786884
1.8961522287312316,487.7049180327869
2.243500691692594,476.2295081967213
2.6954897945280334,461.88524590163934
3.238539332440877,447.5409836065574
3.7739666723203955,433.1967213114754
4.398053762920385,417.41803278688525
5.047678754093298,401.6393442622951
5.79343941890067,384.42622950819674
6.548622148118006,367.21311475409834
7.516607490333974,347.13114754098365
8.496939235986941,327.0491803278689
9.459579966234585,306.96721311475414
10.693318265509594,286.8852459016394
11.904792587967213,266.80327868852464
13.254347452193233,243.85245901639348
14.98347611571787,222.3360655737705
16.680993773440385,202.2540983606558
18.01171524520589,183.60655737704917
19.747218679947917,166.39344262295083
21.98374547368998,147.7459016393443
24.47434217076211,127.6639344262295
26.83254650178576,110.45081967213116
30.331154554780717,91.80327868852464
34.81346837977794,73.15573770491801
39.95692472634117,55.94262295081978
48.00688638937817,41.59836065573768
57.675032277129155,30.12295081967227
70.34977073495807,22.95081967213116
84.50170283395201,20.081967213114808
99.95933230537898,18.647540983606632
