z_mm,sigma_MPa
-2e+0,-6.1807e+1
-1.969e+0,-5.9442e+1
-1.938e+0,-5.7083e+1
-1.908e+0,-5.4718e+1
-1.877e+0,-5.2333e+1
-1.848e+0,-4.9896e+1
-1.821e+0,-4.7385e+1
-1.794e+0,-4.4845e+1
-1.767e+0,-4.2301e+1
-1.739e+0,-3.9775e+1
-1.712e+0,-3.7259e+1
-1.684e+0,-3.4748e+1
-1.656e+0,-3.2248e+1
-1.628e+0,-2.9769e+1
-1.599e+0,-2.733e+1
-1.569e+0,-2.4912e+1
-1.539e+0,-2.2514e+1
-1.508e+0,-2.0145e+1
-1.477e+0,-1.7842e+1
-1.444e+0,-1.5591e+1
-1.411e+0,-1.3361e+1
-1.377e+0,-1.1138e+1
-1.344e+0,-8.8999e+0
-1.311e+0,-6.652e+0
-1.278e+0,-4.4497e+0
-1.242e+0,-2.3661e+0
-1.206e+0,-3.3632e-1
-1.169e+0,1.6672e+0
-1.133e+0,3.6649e+0
-1.095e+0,5.6229e+0
-1.056e+0,7.4055e+0
-1.014e+0,8.9532e+0
-9.714e-1,1.0417e+1
-9.284e-1,1.1837e+1
-8.848e-1,1.318e+1
-8.409e-1,1.4486e+1
-7.97e-1,1.5787e+1
-7.534e-1,1.7134e+1
-7.098e-1,1.8476e+1
-6.653e-1,1.9692e+1
-6.194e-1,2.0689e+1
-5.73e-1,2.1598e+1
-5.264e-1,2.2451e+1
-4.794e-1,2.3214e+1
-4.322e-1,2.3927e+1
-3.848e-1,2.4615e+1
-3.375e-1,2.5292e+1
-2.901e-1,2.5963e+1
-2.425e-1,2.6563e+1
-1.944e-1,2.6961e+1
-1.46e-1,2.7209e+1
-9.751e-2,2.7384e+1
-4.898e-2,2.7476e+1
-4.223e-4,2.744e+1
4.811e-2,2.7338e+1
9.661e-2,2.7195e+1
1.451e-1,2.7007e+1
1.935e-1,2.6777e+1
2.419e-1,2.651e+1
2.902e-1,2.6189e+1
3.382e-1,2.5751e+1
3.86e-1,2.5215e+1
4.336e-1,2.4622e+1
4.811e-1,2.3968e+1
5.281e-1,2.3212e+1
5.749e-1,2.2382e+1
6.212e-1,2.1469e+1
6.664e-1,2.036e+1
7.102e-1,1.904e+1
7.536e-1,1.7671e+1
7.975e-1,1.6363e+1
8.418e-1,1.5116e+1
8.86e-1,1.3858e+1
9.298e-1,1.254e+1
9.723e-1,1.1055e+1
1.014e+0,9.4473e+0
1.054e+0,7.7637e+0
1.094e+0,5.9854e+0
1.131e+0,4.0254e+0
1.166e+0,1.9552e+0
1.202e+0,-1.5164e-1
1.237e+0,-2.2579e+0
1.272e+0,-4.3335e+0
1.308e+0,-6.4029e+0
1.344e+0,-8.4776e+0
1.379e+0,-1.0565e+1
1.414e+0,-1.2676e+1
1.449e+0,-1.4837e+1
1.482e+0,-1.7078e+1
1.514e+0,-1.9362e+1
1.545e+0,-2.168e+1
1.576e+0,-2.4038e+1
1.605e+0,-2.6477e+1
1.632e+0,-2.9026e+1
1.658e+0,-3.1602e+1
1.685e+0,-3.4151e+1
1.715e+0,-3.6569e+1
1.746e+0,-3.8877e+1
1.861e+0,-4.8699e+1
1.885e+0,-5.1348e+1
1.911e+0,-5.3939e+1
1.938e+0,-5.6455e+1
1.966e+0,-5.895e+1
1.994e+0,-6.1446e+1
1.764e+0,-4.0843e+1
1.796e+0,-4.3916e+1
1.828e+0,-4.6988e+1
