z_mm,T_degC
-2.011e+0,2.972e+2
-1.966e+0,3.01e+2
-1.92e+0,3.047e+2
-1.875e+0,3.084e+2
-1.829e+0,3.122e+2
-1.784e+0,3.161e+2
-1.739e+0,3.204e+2
-1.695e+0,3.248e+2
-1.65e+0,3.291e+2
-1.605e+0,3.332e+2
-1.559e+0,3.368e+2
-1.513e+0,3.401e+2
-1.467e+0,3.434e+2
-1.421e+0,3.465e+2
-1.375e+0,3.495e+2
-1.328e+0,3.525e+2
-1.282e+0,3.554e+2
-1.236e+0,3.585e+2
-1.189e+0,3.617e+2
-1.143e+0,3.649e+2
-1.097e+0,3.68e+2
-1.05e+0,3.707e+2
-1.003e+0,3.729e+2
-9.56e-1,3.749e+2
-9.089e-1,3.771e+2
-8.618e-1,3.793e+2
-8.148e-1,3.815e+2
-7.676e-1,3.837e+2
-7.204e-1,3.857e+2
-6.73e-1,3.874e+2
-6.256e-1,3.891e+2
-5.782e-1,3.909e+2
-5.31e-1,3.93e+2
-4.838e-1,3.95e+2
-4.363e-1,3.965e+2
-3.885e-1,3.974e+2
-3.407e-1,3.982e+2
-2.929e-1,3.989e+2
-2.45e-1,3.993e+2
-1.971e-1,3.997e+2
-1.492e-1,4.001e+2
-1.014e-1,4.007e+2
-5.35e-2,4.012e+2
-5.601e-3,4.013e+2
4.228e-2,4.01e+2
9.015e-2,4.004e+2
1.38e-1,3.999e+2
1.859e-1,3.995e+2
2.338e-1,3.99e+2
2.816e-1,3.986e+2
3.295e-1,3.982e+2
3.774e-1,3.977e+2
4.252e-1,3.968e+2
4.727e-1,3.953e+2
5.201e-1,3.936e+2
5.677e-1,3.923e+2
6.154e-1,3.912e+2
6.631e-1,3.899e+2
7.104e-1,3.882e+2
7.572e-1,3.856e+2
8.038e-1,3.828e+2
8.507e-1,3.803e+2
8.98e-1,3.785e+2
9.454e-1,3.768e+2
9.928e-1,3.75e+2
1.04e+0,3.727e+2
1.086e+0,3.696e+2
1.132e+0,3.665e+2
1.179e+0,3.639e+2
1.226e+0,3.618e+2
1.273e+0,3.597e+2
1.32e+0,3.567e+2
1.365e+0,3.531e+2
1.411e+0,3.493e+2
1.457e+0,3.458e+2
1.502e+0,3.423e+2
1.548e+0,3.388e+2
1.594e+0,3.352e+2
1.639e+0,3.314e+2
1.685e+0,3.276e+2
1.73e+0,3.236e+2
1.775e+0,3.195e+2
1.82e+0,3.152e+2
1.864e+0,3.105e+2
1.907e+0,3.054e+2
1.948e+0,2.994e+2
1.989e+0,2.931e+2
