z_mm,sigma_MPa
-1.988e+0,-4.0322e+1
-1.953e+0,-3.8192e+1
-1.918e+0,-3.606e+1
-1.883e+0,-3.3927e+1
-1.848e+0,-3.1795e+1
-1.813e+0,-2.9664e+1
-1.778e+0,-2.7534e+1
-1.743e+0,-2.5406e+1
-1.708e+0,-2.3282e+1
-1.673e+0,-2.1166e+1
-1.638e+0,-1.9051e+1
-1.602e+0,-1.6929e+1
-1.567e+0,-1.4808e+1
-1.532e+0,-1.2696e+1
-1.496e+0,-1.06e+1
-1.46e+0,-8.5338e+0
-1.424e+0,-6.5284e+0
-1.385e+0,-4.643e+0
-1.346e+0,-2.8392e+0
-1.306e+0,-1.0927e+0
-1.265e+0,5.9121e-1
-1.223e+0,2.1434e+0
-1.18e+0,3.5322e+0
-1.135e+0,4.825e+0
-1.09e+0,6.0054e+0
-1.045e+0,7.0954e+0
-9.987e-1,8.0609e+0
-9.515e-1,8.831e+0
-9.041e-1,9.5385e+0
-8.568e-1,1.0258e+1
-8.096e-1,1.1013e+1
-7.622e-1,1.1738e+1
-7.145e-1,1.2339e+1
-6.662e-1,1.277e+1
-6.178e-1,1.3118e+1
-5.693e-1,1.3359e+1
-5.206e-1,1.3454e+1
-4.719e-1,1.3526e+1
-4.232e-1,1.3667e+1
-3.747e-1,1.3972e+1
-3.263e-1,1.4318e+1
-2.778e-1,1.4631e+1
-2.292e-1,1.4774e+1
-1.805e-1,1.476e+1
-1.318e-1,1.4723e+1
-8.305e-2,1.4766e+1
-3.437e-2,1.488e+1
1.432e-2,1.5002e+1
6.301e-2,1.5093e+1
1.117e-1,1.513e+1
1.604e-1,1.5133e+1
2.092e-1,1.5065e+1
2.578e-1,1.4892e+1
3.064e-1,1.4682e+1
3.55e-1,1.4462e+1
4.036e-1,1.4257e+1
4.522e-1,1.4058e+1
5.008e-1,1.3851e+1
5.494e-1,1.3612e+1
5.979e-1,1.3334e+1
6.464e-1,1.3031e+1
6.948e-1,1.2686e+1
7.431e-1,1.2262e+1
7.912e-1,1.1788e+1
8.392e-1,1.1278e+1
8.871e-1,1.0717e+1
9.347e-1,1.0049e+1
9.819e-1,9.2869e+0
1.029e+0,8.4407e+0
1.075e+0,7.4504e+0
1.119e+0,6.2103e+0
1.163e+0,4.8481e+0
1.206e+0,3.4149e+0
1.248e+0,1.9005e+0
1.29e+0,2.7475e-1
1.33e+0,-1.4095e+0
1.371e+0,-3.1397e+0
1.41e+0,-4.9373e+0
1.449e+0,-6.7957e+0
1.487e+0,-8.7029e+0
1.524e+0,-1.0684e+1
1.56e+0,-1.2772e+1
1.595e+0,-1.4902e+1
1.63e+0,-1.7051e+1
1.664e+0,-1.9207e+1
1.699e+0,-2.1359e+1
1.734e+0,-2.3519e+1
1.768e+0,-2.5688e+1
1.802e+0,-2.787e+1
1.836e+0,-3.0074e+1
1.87e+0,-3.2293e+1
1.903e+0,-3.4527e+1
1.936e+0,-3.6799e+1
1.968e+0,-3.9102e+1
2e+0,-4.1408e+1
