z_mm,T_degC
-2.006e+0,4.028e+2
-1.962e+0,4.08e+2
-1.919e+0,4.133e+2
-1.876e+0,4.186e+2
-1.833e+0,4.238e+2
-1.79e+0,4.289e+2
-1.746e+0,4.34e+2
-1.703e+0,4.39e+2
-1.659e+0,4.44e+2
-1.615e+0,4.49e+2
-1.571e+0,4.538e+2
-1.527e+0,4.586e+2
-1.483e+0,4.632e+2
-1.438e+0,4.674e+2
-1.393e+0,4.714e+2
-1.347e+0,4.752e+2
-1.302e+0,4.79e+2
-1.256e+0,4.827e+2
-1.21e+0,4.863e+2
-1.164e+0,4.899e+2
-1.118e+0,4.934e+2
-1.072e+0,4.968e+2
-1.026e+0,5.001e+2
-9.802e-1,5.034e+2
-9.34e-1,5.067e+2
-8.877e-1,5.098e+2
-8.412e-1,5.128e+2
-7.945e-1,5.156e+2
-7.474e-1,5.18e+2
-7.001e-1,5.2e+2
-6.527e-1,5.219e+2
-6.052e-1,5.236e+2
-5.574e-1,5.249e+2
-5.096e-1,5.26e+2
-4.617e-1,5.27e+2
-4.139e-1,5.281e+2
-3.663e-1,5.296e+2
-3.186e-1,5.311e+2
-2.709e-1,5.323e+2
-2.23e-1,5.332e+2
-1.75e-1,5.339e+2
-1.271e-1,5.345e+2
-7.906e-2,5.347e+2
-3.106e-2,5.343e+2
1.69e-2,5.337e+2
6.489e-2,5.333e+2
1.129e-1,5.33e+2
1.609e-1,5.329e+2
2.089e-1,5.326e+2
2.569e-1,5.322e+2
3.048e-1,5.313e+2
3.525e-1,5.3e+2
4.002e-1,5.286e+2
4.479e-1,5.271e+2
4.956e-1,5.257e+2
5.433e-1,5.245e+2
5.911e-1,5.232e+2
6.387e-1,5.217e+2
6.862e-1,5.2e+2
7.337e-1,5.181e+2
7.81e-1,5.16e+2
8.277e-1,5.132e+2
8.738e-1,5.099e+2
9.198e-1,5.065e+2
9.657e-1,5.029e+2
1.011e+0,4.993e+2
1.057e+0,4.956e+2
1.103e+0,4.919e+2
1.149e+0,4.883e+2
1.195e+0,4.851e+2
1.241e+0,4.819e+2
1.287e+0,4.786e+2
1.333e+0,4.747e+2
1.378e+0,4.707e+2
1.423e+0,4.665e+2
1.468e+0,4.622e+2
1.512e+0,4.577e+2
1.557e+0,4.532e+2
1.601e+0,4.484e+2
1.644e+0,4.43e+2
1.686e+0,4.376e+2
1.73e+0,4.324e+2
1.774e+0,4.28e+2
1.819e+0,4.237e+2
1.862e+0,4.185e+2
1.904e+0,4.127e+2
1.947e+0,4.071e+2
1.989e+0,4.014e+2
