z_mm,sigma_MPa
-2.006e+0,1.2097e-1
-1.957e+0,1.2097e-1
-1.908e+0,1.2097e-1
-1.86e+0,1.2097e-1
-1.811e+0,1.2097e-1
-1.762e+0,1.2097e-1
-1.713e+0,1.2097e-1
-1.665e+0,1.2097e-1
-1.616e+0,1.2097e-1
-1.567e+0,1.2097e-1
-1.519e+0,1.2097e-1
-1.47e+0,1.2097e-1
-1.421e+0,1.2097e-1
-1.373e+0,1.2097e-1
-1.324e+0,1.2097e-1
-1.275e+0,1.2097e-1
-1.226e+0,1.2097e-1
-1.178e+0,1.2097e-1
-1.129e+0,1.2097e-1
-1.08e+0,1.2097e-1
-1.032e+0,1.2097e-1
-9.828e-1,1.2097e-1
-9.341e-1,1.2097e-1
-8.854e-1,1.2097e-1
-8.367e-1,1.2097e-1
-7.88e-1,1.2097e-1
-7.393e-1,1.2097e-1
-6.906e-1,1.2097e-1
-6.419e-1,1.2097e-1
-5.931e-1,1.2097e-1
-5.444e-1,1.2097e-1
-4.957e-1,1.2097e-1
-4.47e-1,1.2097e-1
-3.983e-1,1.2097e-1
-3.496e-1,1.2097e-1
-3.009e-1,1.2097e-1
-2.522e-1,1.2097e-1
-2.035e-1,1.2097e-1
-1.548e-1,1.2097e-1
-1.06e-1,1.2097e-1
-5.733e-2,1.2097e-1
-8.621e-3,1.2097e-1
4.009e-2,1.2097e-1
8.88e-2,1.2097e-1
1.375e-1,1.2097e-1
1.862e-1,1.2097e-1
2.349e-1,1.2097e-1
2.836e-1,1.2097e-1
3.324e-1,1.2097e-1
3.811e-1,1.2097e-1
4.298e-1,1.2097e-1
4.785e-1,1.2097e-1
5.272e-1,1.2097e-1
5.759e-1,1.2097e-1
6.246e-1,1.2097e-1
6.733e-1,1.2097e-1
7.22e-1,1.2097e-1
7.707e-1,1.2097e-1
8.195e-1,1.2097e-1
8.682e-1,1.2097e-1
9.169e-1,1.2097e-1
9.656e-1,1.2097e-1
1.014e+0,1.2097e-1
1.063e+0,1.2097e-1
1.112e+0,1.2097e-1
1.16e+0,1.2097e-1
1.209e+0,1.2097e-1
1.258e+0,1.2097e-1
1.307e+0,1.2097e-1
1.355e+0,1.2097e-1
1.404e+0,1.2097e-1
1.453e+0,1.2097e-1
1.501e+0,1.2097e-1
1.55e+0,1.2097e-1
1.599e+0,1.2097e-1
1.648e+0,1.2097e-1
1.696e+0,1.2097e-1
1.745e+0,1.2097e-1
1.794e+0,1.2097e-1
1.842e+0,1.2097e-1
1.891e+0,1.2097e-1
1.94e+0,1.2097e-1
1.989e+0,1.2097e-1
