z_mm,T_degC
-2e+0,1.667e+1
-1.952e+0,1.667e+1
-1.904e+0,1.667e+1
-1.856e+0,1.667e+1
-1.808e+0,1.667e+1
-1.76e+0,1.667e+1
-1.712e+0,1.667e+1
-1.665e+0,1.667e+1
-1.617e+0,1.667e+1
-1.569e+0,1.667e+1
-1.521e+0,1.667e+1
-1.473e+0,1.667e+1
-1.425e+0,1.667e+1
-1.377e+0,1.667e+1
-1.329e+0,1.667e+1
-1.281e+0,1.667e+1
-1.233e+0,1.667e+1
-1.185e+0,1.667e+1
-1.137e+0,1.667e+1
-1.089e+0,1.667e+1
-1.042e+0,1.667e+1
-9.936e-1,1.667e+1
-9.457e-1,1.667e+1
-8.977e-1,1.667e+1
-8.498e-1,1.667e+1
-8.019e-1,1.667e+1
-7.54e-1,1.667e+1
-7.061e-1,1.667e+1
-6.581e-1,1.667e+1
-6.102e-1,1.667e+1
-5.623e-1,1.667e+1
-5.144e-1,1.667e+1
-4.664e-1,1.667e+1
-4.185e-1,1.667e+1
-3.706e-1,1.667e+1
-3.227e-1,1.667e+1
-2.747e-1,1.667e+1
-2.268e-1,1.667e+1
-1.789e-1,1.667e+1
-1.31e-1,1.667e+1
-8.304e-2,1.667e+1
-3.512e-2,1.667e+1
1.28e-2,1.667e+1
6.073e-2,1.667e+1
1.087e-1,1.667e+1
1.566e-1,1.667e+1
2.045e-1,1.667e+1
2.524e-1,1.667e+1
3.003e-1,1.667e+1
3.483e-1,1.667e+1
3.962e-1,1.667e+1
4.441e-1,1.667e+1
4.92e-1,1.667e+1
5.4e-1,1.667e+1
5.879e-1,1.667e+1
6.358e-1,1.667e+1
6.837e-1,1.667e+1
7.317e-1,1.667e+1
7.796e-1,1.667e+1
8.275e-1,1.667e+1
8.754e-1,1.667e+1
9.234e-1,1.667e+1
9.713e-1,1.667e+1
1.019e+0,1.667e+1
1.067e+0,1.667e+1
1.115e+0,1.667e+1
1.163e+0,1.667e+1
1.211e+0,1.667e+1
1.259e+0,1.667e+1
1.307e+0,1.667e+1
1.355e+0,1.667e+1
1.403e+0,1.667e+1
1.451e+0,1.667e+1
1.498e+0,1.667e+1
1.546e+0,1.667e+1
1.594e+0,1.667e+1
1.642e+0,1.667e+1
1.69e+0,1.667e+1
1.738e+0,1.667e+1
1.786e+0,1.667e+1
1.834e+0,1.667e+1
1.882e+0,1.667e+1
1.93e+0,1.667e+1
1.978e+0,1.667e+1 
2e+0,1.667e+1 
