z_mm,T_degC
-2.006e+0,1.625e+2
-1.959e+0,1.65e+2
-1.912e+0,1.675e+2
-1.865e+0,1.7e+2
-1.818e+0,1.725e+2
-1.771e+0,1.75e+2
-1.724e+0,1.775e+2
-1.677e+0,1.801e+2
-1.63e+0,1.825e+2
-1.583e+0,1.849e+2
-1.536e+0,1.872e+2
-1.489e+0,1.893e+2
-1.442e+0,1.915e+2
-1.394e+0,1.936e+2
-1.347e+0,1.956e+2
-1.3e+0,1.976e+2
-1.253e+0,1.995e+2
-1.205e+0,2.014e+2
-1.158e+0,2.032e+2
-1.11e+0,2.047e+2
-1.062e+0,2.059e+2
-1.015e+0,2.07e+2
-9.668e-1,2.08e+2
-9.19e-1,2.091e+2
-8.712e-1,2.102e+2
-8.234e-1,2.113e+2
-7.757e-1,2.124e+2
-7.28e-1,2.138e+2
-6.804e-1,2.152e+2
-6.327e-1,2.166e+2
-5.85e-1,2.178e+2
-5.371e-1,2.185e+2
-4.891e-1,2.188e+2
-4.411e-1,2.19e+2
-3.932e-1,2.193e+2
-3.453e-1,2.202e+2
-2.976e-1,2.213e+2
-2.498e-1,2.225e+2
-2.02e-1,2.235e+2
-1.54e-1,2.238e+2
-1.061e-1,2.238e+2
-5.808e-2,2.236e+2
-1.009e-2,2.236e+2
3.787e-2,2.239e+2
8.58e-2,2.245e+2
1.338e-1,2.249e+2
1.817e-1,2.249e+2
2.297e-1,2.244e+2
2.775e-1,2.236e+2
3.254e-1,2.228e+2
3.733e-1,2.221e+2
4.212e-1,2.215e+2
4.692e-1,2.21e+2
5.171e-1,2.204e+2
5.65e-1,2.198e+2
6.129e-1,2.19e+2
6.607e-1,2.18e+2
7.085e-1,2.169e+2
7.563e-1,2.158e+2
8.04e-1,2.147e+2
8.518e-1,2.137e+2
8.996e-1,2.126e+2
9.474e-1,2.115e+2
9.952e-1,2.103e+2
1.043e+0,2.09e+2
1.09e+0,2.074e+2
1.138e+0,2.058e+2
1.185e+0,2.041e+2
1.233e+0,2.022e+2
1.28e+0,2.002e+2
1.327e+0,1.981e+2
1.375e+0,1.959e+2
1.422e+0,1.939e+2
1.469e+0,1.92e+2
1.517e+0,1.901e+2
1.564e+0,1.881e+2
1.611e+0,1.856e+2
1.657e+0,1.828e+2
1.704e+0,1.799e+2
1.751e+0,1.77e+2
1.797e+0,1.741e+2
1.844e+0,1.712e+2
1.89e+0,1.683e+2
1.937e+0,1.654e+2
1.983e+0,1.625e+2
