z_mm,sigma_MPa
-2.006e+0,-1.1639e+2
-1.988e+0,-1.1355e+2
-1.97e+0,-1.1071e+2
-1.953e+0,-1.0786e+2
-1.935e+0,-1.0502e+2
-1.917e+0,-1.0218e+2
-1.9e+0,-9.9343e+1
-1.882e+0,-9.6502e+1
-1.864e+0,-9.3662e+1
-1.847e+0,-9.0822e+1
-1.829e+0,-8.7983e+1
-1.811e+0,-8.5144e+1
-1.793e+0,-8.2306e+1
-1.776e+0,-7.9469e+1
-1.758e+0,-7.6631e+1
-1.74e+0,-7.379e+1
-1.722e+0,-7.095e+1
-1.705e+0,-6.8109e+1
-1.687e+0,-6.527e+1
-1.669e+0,-6.2433e+1
-1.651e+0,-5.96e+1
-1.633e+0,-5.6772e+1
-1.615e+0,-5.3951e+1
-1.596e+0,-5.1142e+1
-1.576e+0,-4.835e+1
-1.556e+0,-4.5568e+1
-1.536e+0,-4.2794e+1
-1.516e+0,-4.0026e+1
-1.495e+0,-3.7264e+1
-1.474e+0,-3.4508e+1
-1.453e+0,-3.1758e+1
-1.432e+0,-2.9016e+1
-1.411e+0,-2.6284e+1
-1.388e+0,-2.3569e+1
-1.366e+0,-2.0878e+1
-1.342e+0,-1.8206e+1
-1.318e+0,-1.5546e+1
-1.294e+0,-1.2895e+1
-1.27e+0,-1.0252e+1
-1.246e+0,-7.6174e+0
-1.221e+0,-4.9906e+0
-1.196e+0,-2.3756e+0
-1.171e+0,2.2183e-1
-1.145e+0,2.8051e+0
-1.119e+0,5.376e+0
-1.092e+0,7.9329e+0
-1.065e+0,1.047e+1
-1.038e+0,1.2976e+1
-1.01e+0,1.5463e+1
-9.812e-1,1.793e+1
-9.522e-1,2.0372e+1
-9.223e-1,2.2774e+1
-8.908e-1,2.5097e+1
-8.582e-1,2.7352e+1
-8.248e-1,2.9567e+1
-7.909e-1,3.1748e+1
-7.564e-1,3.3889e+1
-7.209e-1,3.5966e+1
-6.839e-1,3.7942e+1
-6.461e-1,3.9854e+1
-6.077e-1,4.1712e+1
-5.684e-1,4.3504e+1
-5.278e-1,4.5167e+1
-4.856e-1,4.6672e+1
-4.427e-1,4.8097e+1
-3.993e-1,4.9463e+1
-3.555e-1,5.0765e+1
-3.111e-1,5.1993e+1
-2.662e-1,5.315e+1
-2.206e-1,5.4176e+1
-1.735e-1,5.4918e+1
-1.258e-1,5.5461e+1
-7.75e-2,5.5704e+1
-2.904e-2,5.5605e+1
1.936e-2,5.54e+1
6.772e-2,5.517e+1
1.16e-1,5.4883e+1
1.639e-1,5.4397e+1
2.111e-1,5.3701e+1
2.579e-1,5.2897e+1
3.038e-1,5.1926e+1
3.481e-1,5.0678e+1
3.914e-1,4.9305e+1
4.341e-1,4.7855e+1
4.758e-1,4.6308e+1
5.167e-1,4.4667e+1
5.571e-1,4.2977e+1
5.97e-1,4.1238e+1
6.36e-1,3.9425e+1
6.743e-1,3.756e+1
7.121e-1,3.5645e+1
7.488e-1,3.3651e+1
7.846e-1,3.1593e+1
8.197e-1,2.9491e+1
8.539e-1,2.7329e+1
8.858e-1,2.5031e+1
9.152e-1,2.2604e+1
9.438e-1,2.0142e+1
9.727e-1,1.7694e+1
1.003e+0,1.5322e+1
1.034e+0,1.2981e+1
1.065e+0,1.0635e+1
1.096e+0,8.251e+0
1.124e+0,5.7751e+0
1.151e+0,3.2456e+0
1.177e+0,6.8033e-1
1.202e+0,-1.9318e+0
1.225e+0,-4.6287e+0
1.246e+0,-7.365e+0
1.267e+0,-1.0111e+1
1.289e+0,-1.2846e+1
1.311e+0,-1.5557e+1
1.334e+0,-1.8263e+1
1.356e+0,-2.0971e+1
1.378e+0,-2.3687e+1
1.4e+0,-2.6418e+1
1.421e+0,-2.9155e+1
1.442e+0,-3.1898e+1
1.463e+0,-3.4649e+1
1.484e+0,-3.7414e+1
1.503e+0,-4.0199e+1
1.523e+0,-4.2991e+1
1.542e+0,-4.5788e+1
1.562e+0,-4.8586e+1
1.581e+0,-5.1386e+1
1.6e+0,-5.4183e+1
1.62e+0,-5.6981e+1
1.639e+0,-5.9783e+1
1.658e+0,-6.2592e+1
1.676e+0,-6.5418e+1
1.694e+0,-6.8258e+1
1.711e+0,-7.1106e+1
1.728e+0,-7.3961e+1
1.764e+0,-7.9157e+1
1.783e+0,-8.2108e+1
1.801e+0,-8.506e+1
1.819e+0,-8.8012e+1
1.837e+0,-9.0964e+1
1.855e+0,-9.3916e+1
1.874e+0,-9.6867e+1
1.892e+0,-9.9819e+1
1.91e+0,-1.0277e+2
1.928e+0,-1.0572e+2
1.946e+0,-1.0867e+2
1.965e+0,-1.1163e+2
1.983e+0,-1.1458e+2 
