htc_A1,htc_A2,htc_B1,htc_B2,htc_C1,T_amb_A1,T_amb_A2,T_amb_B1,T_amb_B2,T_amb_C1,epsilon,sigma
20.0,50.0,20.0,50.0,20.0,873.0,853.0,779.0,779.0,757.0,0.85,5.67e-08
20.0,50.0,20.0,50.0,20.0,873.0,827.0,779.0,757.0,757.0,0.85,1.67e-08
50.0,50.0,50.0,50.0,20.0,873.0,827.0,827.0,779.0,757.0,0.7,5.67e-08
50.0,20.0,20.0,20.0,20.0,873.0,827.0,827.0,779.0,757.0,0.85,5.67e-08
20.0,50.0,20.0,50.0,50.0,853.0,853.0,779.0,757.0,757.0,0.85,1.67e-08
20.0,50.0,50.0,50.0,50.0,873.0,827.0,827.0,757.0,733.0,0.85,1.67e-08
50.0,50.0,20.0,50.0,50.0,873.0,827.0,779.0,779.0,757.0,0.7,5.67e-08
20.0,50.0,50.0,50.0,50.0,853.0,853.0,779.0,757.0,757.0,0.85,1.67e-08
20.0,20.0,20.0,20.0,20.0,853.0,827.0,827.0,779.0,757.0,0.7,1.67e-08
50.0,50.0,20.0,50.0,50.0,873.0,827.0,779.0,757.0,757.0,0.7,5.67e-08
50.0,20.0,50.0,50.0,50.0,853.0,853.0,827.0,779.0,757.0,0.7,1.67e-08
50.0,50.0,20.0,50.0,20.0,873.0,853.0,827.0,779.0,757.0,0.85,1.67e-08
50.0,50.0,20.0,50.0,20.0,873.0,827.0,779.0,779.0,733.0,0.85,1.67e-08
20.0,50.0,20.0,50.0,50.0,853.0,827.0,827.0,779.0,733.0,0.85,5.67e-08
20.0,50.0,50.0,50.0,50.0,873.0,827.0,779.0,757.0,757.0,0.85,1.67e-08
20.0,50.0,20.0,20.0,50.0,873.0,853.0,827.0,779.0,733.0,0.7,5.67e-08
50.0,20.0,20.0,50.0,50.0,853.0,853.0,779.0,779.0,757.0,0.7,1.67e-08
50.0,50.0,50.0,50.0,20.0,873.0,827.0,827.0,757.0,757.0,0.85,5.67e-08
50.0,20.0,20.0,50.0,50.0,873.0,827.0,779.0,779.0,757.0,0.7,5.67e-08
